Nombre,Precio regular,Precio promocional,Categoria/s,SKU,URL,Stock,Descripcion
PLACARD TABLES 2 PUERTAS OLMO/GRIS,89999.0,67499.25,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE DORMITORIO/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",488471,https://www.hiperlibertad.com.ar/placard-tables-2-puertas-olmo-gris/p,3,Descripcion: Placard 2 Puertas 2 Cajones  - Color : Olmo Finlandes/Gris Cubanita - Material: Melamina 15mm - Medidas (armado): 86 cm x 186 cm x 45 cm- Requiere armado: si - Peso Caja: 60 Kg
CHIFONIER TABLES 4 CAJONES OLMO/GRIS,63999.0,47999.25,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE DORMITORIO/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",488470,https://www.hiperlibertad.com.ar/chifonier-tables-4-cajones-olmo-gris/p,2,Descripcion: Chifonier 4 cajones  - Color : Olmo Finlandes/Gris Cubanita - Material: Melamina 15mm - Medidas (armado): 86 cm x 97 cm x 45 cm - Requiere armado: si - Peso Caja: 37 Kg
"HOME VISION PARA TV HASTA 55""",69999.0,39749.25,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",485412,https://www.hiperlibertad.com.ar/home-vision-para-tv-hasta-55/p,1,"Descripcion: Home para tv HASTA 55"" 2 con estantes - Color : roble natural/blanco - Material: Melamina 15mm - Medidas (armado): 182 cm x 128 cm x 40 cm - Requiere armado: si - Peso Caja: 50,2 Kg"
"PANEL PARA TV HASTA 50""",39999.0,22274.25,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",485357,https://www.hiperlibertad.com.ar/panel-para-tv-hasta-50/p,1,"Descripcion: Panel para TV HASTA 50"". Incluye soporte fijo para TV - Color : enigma - Material: Melamina 15mm - Medidas (armado): 85 cm x 128 cm x 26,5 cm - Requiere armado: si - Peso Caja: 19,1 Kg"
SILLA OFICINA PRS044 BEIGE,49999.0,49999.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE OFICINA/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",485325,https://www.hiperlibertad.com.ar/silla-oficina-prs044-beige/p,7,"Descripcion: Silla de oficina. Tela tipo malla. Altura regulable con piston a gas. Apoyabrazos. Base de hierro cromado giratoria con ruedas. Ajuste de inclinacion - Color : gris - Material: Cuerina y malla - Medidas (armado): 92/120 cm x 60 cm x 50 cm - Requiere armado: si - Peso Caja: 10,1 Kg"
ESCRITORIO FLOTANTE,47999.0,47999.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE OFICINA/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",485323,https://www.hiperlibertad.com.ar/escritorio-flotante/p,1,"Descripcion: Escritorio de pared. Puerta basculante con piston a gas - Color : roble blanco- Material: Melamina 15mm - Medidas (armado): 40 cm x 125 cm x 25 cm - Requiere armado: si - Peso Caja: 16,2 Kg"
ESCRITORIO GAMER,54499.0,30374.25,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE OFICINA/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",485322,https://www.hiperlibertad.com.ar/escritorio-gamer/p,2,"Descripcion: Escritorio gamer 4 estantes. Con espacio para CPU. Incluye gancho para auriculares y pasacables - Color : negro/rojo - Material: Melamina 15mm - Medidas (armado): 78 cm x 120 cm x 60 cm - Requiere armado: si - Peso Caja: 30,4 Kg"
"PANEL PARA TV HASTA 55""",58999.0,58999.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",485320,https://www.hiperlibertad.com.ar/panel-para-tv-hasta-55/p,1,"Descripcion: Panel para TV HASTA 55"". 1 puerta. Incluye soporte fijo para TV - Color : roble termo - Material: Melamina 15mm - Medidas (armado): 90 cm x 150 cm x 26,5 cm - Requiere armado: si - Peso Caja: 27,3 Kg"
"RACK VISION PARA TV HASTA  55""",45999.0,45999.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",485319,https://www.hiperlibertad.com.ar/rack-vision-para-tv-hasta-55-2/p,2,"Descripcion: Rack para tv HASTA 55"" 1 puerta y estantes - Color : nebraska/negro - Material: Melamina 15mm - Medidas (armado): 62 cm  x 120 cm x 35 cm - Requiere armado: si - Peso Caja: 24,1 Kg"
SILLA LEBLON NEGRA,37999.0,37999.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",474409,https://www.hiperlibertad.com.ar/silla-leblon-negra/p,3,"DESCRIPCION: 
 Silla de hierro y soga con diseño y calidad premium. 
 La silla Leblon combina un moderno diseño con una comodidad unica. 
 Estructura de hierro color negro. Soga color negro. 
 
 MATERIALES: 
 HIERRO DE PRIMERA CALIDAD DE 1/2″ 
 PINTURA ELECTROESTATICA EPOXI CON ACABADO A HORNO 
 SOGA DE POLIPROPILENO DE ALTA RESISTENCIA 
 
 MEDIDAS: 
 ALTO TOTAL 94CM 
 ANCHO 44 CM 
 PROFUNDIDAD 52 CM 
 ALTO AL ASIENTO 51 CM 
 HIERRO DE PRIMERA CALIDAD DE 1/2″"
SILLA LEBLON HN TEJIDO TOSTADO,37999.0,37999.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",474408,https://www.hiperlibertad.com.ar/silla-leblon-hn-tejido-tostado/p,5,Silla de hierro y soga con diseño y calidad premium. La silla Leblon combina un moderno diseño con una comodidad unica.   MATERIALES: HIERRO DE PRIMERA CALIDAD DE 1/2″- SOGA DE POLIPROPILENO DE ALTA RESISTENCIA - PINTURA ELECTROESTATICA EPOXI CON ACABADO A HORNO   Medidas: L: 52 cm A: 44 cm Al:92 cm - ORIGEN: Argentina
"BAHIUT 1,60 MT. GRIS ANDINO",75199.0,75199.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",471572,https://www.hiperlibertad.com.ar/bahiut-1-60-mt-gris-andino/p,2,Bahiut /Mueble Tv - 1 cajon con correderas metalicas 4 puertas -Color:Gris Andino  - Materiales: Aglomerado termolaminado - Alto:92 cm Prof:45 cm  Ancho: 160 cm - Requiere armado
"BAHIUT 1,60 MT. TABACO",75199.0,75199.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",471571,https://www.hiperlibertad.com.ar/bahiut-1-60-mt-tabaco/p,1,Bahiut /Mueble Tv - 1 cajon con correderas metalicas 4 puertas -Color:Tabaco - Materiales: Aglomerado termolaminado - Alto:92 cm Prof:45 cm  Ancho: 160 cm - Requiere armado
ESTANTE FLOTANTE SLIM 60X20 WENGUE,3999.0,2999.25,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",470514,https://www.hiperlibertad.com.ar/estante-flotante-slim-60x20-wengue/p,8,"Tipo: Estante-Color: Wengue-Material:Aglomerado Melaminizado - Alto:1,5 cm Largo:80 cm  Ancho: 20 cm"
ESTANTE FLOTANTE SLIM 60X20 PARAISO,3999.0,2999.25,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",470513,https://www.hiperlibertad.com.ar/estante-flotante-slim-60x20-paraiso/p,6,"Tipo: Estante-Color: Paraiso-Material:Aglomerado Melaminizado - Alto:1,5 cm Largo:60 cm  Ancho: 20 cm"
ESTANTE FLOTANTE SLIM 60X20 BLANCO,3999.0,2999.25,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",470512,https://www.hiperlibertad.com.ar/estante-flotante-slim-60x20-blanco/p,4,"Tipo: Estante-Color: Blanco-Material:Aglomerado Melaminizado - Alto:1,5 cm Largo:60 cm  Ancho: 20 cm"
ESTANTE FLOTANTE SLIM 80X20 WENGUE,4619.0,3464.25,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",470511,https://www.hiperlibertad.com.ar/estante-flotante-slim-80x20-wengue/p,3,"Tipo: Estante-Color: Wengue-Material:Aglomerado Melaminizado - Alto:1,5 cm Largo:60 cm  Ancho: 20 cm"
ESTANTE FLOTANTE SLIM 80X20 PARAISO,4619.0,3464.25,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",470510,https://www.hiperlibertad.com.ar/estante-flotante-slim-80x20-paraiso/p,7,"Tipo: Estante-Color: Paraiso-Material:Aglomerado Melaminizado - Alto:1,5 cm Largo:80 cm  Ancho: 20 cm"
ESTANTE FLOTANTE SLIM 80X20 BLANCO,4619.0,3464.25,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",470509,https://www.hiperlibertad.com.ar/estante-flotante-slim-80x20-blanco/p,13,"Tipo: Estante-Color: Blanco-Material:Aglomerado Melaminizado - Alto:1,5 cm Largo:80 cm  Ancho: 20 cm -"
RACK TV MULTIFUNCION WENGUE,22489.0,22489.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",470440,https://www.hiperlibertad.com.ar/rack-tv-multifuncion-wengue/p,2,"Mueble organizador con dos módulos para combinar como quieras. Uno de los modelos más versátiles de la línea original, ideal para utilizar como rack de TV. Combina con todo tipo de ambiente y cuenta con seis compartimientos para organizar todo lo que necesites. Color: Wengue - Materiales : Aglomerado Melaminizado - Consta de dos piezas . Medidas de cada piezas armada.Alto:59,5 cm Ancho: 30 cm Largo: 118,5 cm . - Requiere armado"
RACK TV MULTIFUNCION BLANCO,22489.0,22489.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES PARA LIVING Y COMEDOR/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",470439,https://www.hiperlibertad.com.ar/rack-tv-multifuncion-blanco/p,2,"Mueble organizador con dos módulos para combinar como quieras. Uno de los modelos más versátiles de la línea original, ideal para utilizar como rack de TV. Combina con todo tipo de ambiente y cuenta con seis compartimientos para organizar todo lo que necesites. Color: Blanco - Materiales : Aglomerado Melaminizado - Consta de dos piezas . Medidas de cada piezas armada.Alto:59,5 cm Ancho: 30 cm Largo: 118,5 cm ."
ORGANIZADOR MODULAR 4 ESPACIOS BLANCO,16199.0,16199.0,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE OFICINA/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",470438,https://www.hiperlibertad.com.ar/organizador-modular-4-espacios-blanco/p,1,"Apila y combina como quieras. Estos cubos ofrecen un sinfín de posiblidades para organizar tus libros, revistas y cualquier objeto de decoración. Se adaptan a todos los espacios y podes usarlo colgado, en piso o como separador de ambientes.Color: Blanco -  Materiales: Aglomerado Melaminizado - Alto:60 cm Largo:60 cm  Ancho: 30 cm - Requiere armado"
ESCRITORIO 2 CAJONES ABEDUL,30199.0,20474.25,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE OFICINA/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",468289,https://www.hiperlibertad.com.ar/escritorio-2-cajones-abedul/p,1,"ESCRITORIO 2 CAJONES ABEDUL Escritorio 2 cajones Correderas metálicas Diseñado para trabajo con notebook Material: Melamina 15 mm Color: Abedul Medidas: 98 cm X 75,5 cm X 59,5 cm Origen: Argentina"
ESCRITORIO NOTEBOOK ABEDUL,19499.0,13199.25,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE OFICINA/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",468288,https://www.hiperlibertad.com.ar/escritorio-notebook-abedul/p,3,"Escritorio/mesa de trabajo Escritorio sin cajon Material: Melamina 15 mm Color: Abedul Medidas: 90 cm X 75,5 cm X 59,5 cm Origen: Argentina"
ESCRITORIO NOTEBOOK VENECI,19499.0,13199.25,"/Hogar/MUEBLES DE INTERIOR/MUEBLES DE OFICINA/,/Hogar/MUEBLES DE INTERIOR/,/Hogar/",468272,https://www.hiperlibertad.com.ar/escritorio-notebook-veneci/p,2,"ESCRITORIO NOTEBOOK VENECIA Escritorio/mesa de trabajo          Escritorio sin cajon Material: Melamina 15 mm Color: Venecia    Medidas: 90 cm X 75,5 cm X 59,5 cm      Origen: Argentina"
